KnightsTourSolver
Knight (0, 0)
Knight (0, 0)->(2, 1)
Knight (2, 1)->(4, 0)
Knight (4, 0)->(5, 2)
Knight (5, 2)->(4, 4)
Knight (4, 4)->(2, 5)
Knight (2, 5)->(0, 4)
Knight (0, 4)->(2, 3)
Knight (2, 3)->(4, 2)
Knight (4, 2)->(5, 4)
Knight (5, 4)->(3, 5)
Knight (3, 5)->(1, 4)
Knight (1, 4)->(0, 2)
Knight (0, 2)->(1, 0)
Knight (1, 0)->(2, 2)
Knight (2, 2)->(4, 1)
Knight (4, 1)->(5, 3)
Knight (5, 3)->(4, 5)
Knight (4, 5)->(3, 3)
Knight (3, 3)->(1, 2)
Knight (1, 2)->(2, 4)
Knight (2, 4)->(0, 5)
Knight (0, 5)->(1, 3)
Knight (1, 3)->(0, 1)
Knight (0, 1)->(2, 0)
Knight (2, 0)->(3, 2)
Knight (3, 2)->(5, 1)
Knight (5, 1)->(3, 0)
Knight (3, 0)->(1, 1)
Knight (1, 1)->(0, 3)
Knight (0, 3)->(1, 5)
Knight (1, 5)->(3, 4)
Knight (3, 4)->(5, 5)
Knight (5, 5)->(4, 3)
Knight (4, 3)->(3, 1)
Knight (3, 1)->(5, 0)
